Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,121.033800,-83.371400,-26.000000,top
C2,100nF,C_0402_1005Metric,125.000000,-86.000000,-26.000000,top
D1,D_Small,D_SOD-323,67.707300,-74.152700,90.000000,top
D2,D_Small,D_SOD-323,67.707300,-91.352700,90.000000,top
D3,D_Small,D_SOD-323,70.707300,-108.552700,90.000000,top
D4,D_Small,D_SOD-323,88.557300,-56.952700,90.000000,top
D5,D_Small,D_SOD-323,81.607300,-56.952700,90.000000,top
D6,D_Small,D_SOD-323,74.657300,-74.152700,90.000000,top
D7,D_Small,D_SOD-323,74.657300,-91.352700,90.000000,top
D8,D_Small,D_SOD-323,74.657300,-108.552700,90.000000,top
D9,D_Small,D_SOD-323,102.457300,-74.152700,90.000000,top
D10,D_Small,D_SOD-323,81.607300,-74.152700,90.000000,top
D11,D_Small,D_SOD-323,81.607300,-91.352700,90.000000,top
D12,D_Small,D_SOD-323,81.607300,-108.552700,90.000000,top
D13,D_Small,D_SOD-323,102.457300,-91.352700,90.000000,top
D14,D_Small,D_SOD-323,88.557300,-74.152700,90.000000,top
D15,D_Small,D_SOD-323,88.557300,-91.352700,90.000000,top
D16,D_Small,D_SOD-323,88.557300,-108.552700,90.000000,top
D17,D_Small,D_SOD-323,109.407300,-91.352700,90.000000,top
D18,D_Small,D_SOD-323,95.507300,-74.152700,90.000000,top
D19,D_Small,D_SOD-323,95.507300,-91.352700,90.000000,top
D20,D_Small,D_SOD-323,95.507300,-108.552700,90.000000,top
D21,D_Small,D_SOD-323,112.827400,-96.353600,38.000000,top
D22,D_Small,D_SOD-323,133.398400,-94.609000,38.000000,top
D23,D_Small,D_SOD-323,119.844700,-105.198400,38.000000,top
D24,D_Small,D_SOD-323,106.290900,-115.787700,38.000000,top
D25,D_Small,D_SOD-323,115.565800,-99.721700,38.000000,top
D26,D_Small,D_SOD-323,137.677300,-100.085700,38.000000,top
D27,D_Small,D_SOD-323,124.123500,-110.675000,38.000000,top
D28,D_Small,D_SOD-323,110.569700,-121.264400,38.000000,top
D29,D_Small,D_SOD-323,129.119600,-89.132300,38.000000,top
D30,D_Small,D_SOD-323,141.956100,-105.562300,38.000000,top
D31,D_Small,D_SOD-323,128.402400,-116.151700,38.000000,top
D32,D_Small,D_SOD-323,114.848600,-126.741100,38.000000,top
D33,D_Small,D_SOD-323,148.231100,-90.496300,38.000000,top
D34,D_Small,D_SOD-323,146.235000,-111.039000,38.000000,top
D35,D_Small,D_SOD-323,132.681200,-121.628400,38.000000,top
D36,D_Small,D_SOD-323,119.127400,-132.217800,38.000000,top
D37,D_Small,D_SOD-323,152.509900,-95.973000,38.000000,top
D38,D_Small,D_SOD-323,150.513800,-116.515700,38.000000,top
D39,D_Small,D_SOD-323,136.960100,-127.105100,38.000000,top
D40,D_Small,D_SOD-323,123.406300,-137.694400,38.000000,top
H1,MountingHole_Pad,m1.6_hole,102.000000,-60.500000,-26.000000,top
H2,MountingHole_Pad,m1.6_hole,143.500000,-81.500000,-26.000000,top
H3,MountingHole_Pad,m1.6_hole,93.062700,-114.216200,-26.000000,top
H4,MountingHole_Pad,m1.6_hole,93.195300,-80.395600,-26.000000,top
H5,MountingHole_Pad,m1.6_hole,127.000000,-124.000000,-26.000000,top
H6,MountingHole_Pad,m1.6_hole,71.229000,-80.243900,-26.000000,top
H7,MountingHole_Pad,m1.6_hole,132.618200,-102.886800,-26.000000,top
H8,MountingHole_Pad,m1.6_hole,148.467800,-122.442500,-26.000000,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,124.102400,-73.161000,180.000000,top
R1,5.1k,R_0402_1005Metric,129.000000,-81.824000,-26.000000,top
R2,5.1k,R_0402_1005Metric,114.000000,-73.500000,-26.000000,top
R3,10k,R_0402_1005Metric,112.500000,-76.500000,-26.000000,top
U1,CH552T,TSSOP-20_4.4x6.5mm_P0.65mm,107.929900,-103.960000,-26.000000,top
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

